71
0,inti,0,-1
1,ID,22,0
2,,,0,-1
3,ID,23,0
4,,,0,-1
5,ID,25,0
6,,,0,-1
7,ID,18,0
8,;,0,-1
9,say,0,-1
10,(,0,-1
11,CONST,9,0
12,),0,-1
13,;,0,-1
14,ID,28,0
15,(,0,-1
16,ID,23,0
17,),0,-1
18,;,0,-1
19,hmm,0,-1
20,(,0,-1
21,ID,23,0
22,<,0,-1
23,CONST,20,0
24,),0,-1
25,{,0,-1
26,},0,-1
27,ID,22,0
28,=,0,-1
29,CONST,19,0
30,;,0,-1
31,repeatAfterMe,0,-1
32,(,0,-1
33,ID,25,0
34,=,0,-1
35,CONST,19,0
36,;,0,-1
37,ID,25,0
38,<,0,-1
39,ID,23,0
40,;,0,-1
41,CONST,20,0
42,),0,-1
43,{,0,-1
44,say,0,-1
45,(,0,-1
46,CONST,13,0
47,),0,-1
48,;,0,-1
49,ID,28,0
50,(,0,-1
51,ID,18,0
52,),0,-1
53,;,0,-1
54,ID,22,0
55,=,0,-1
56,ID,22,0
57,+,0,-1
58,ID,18,0
59,;,0,-1
60,},0,-1
61,say,0,-1
62,(,0,-1
63,CONST,20,1
64,),0,-1
65,;,0,-1
66,sayInti,0,-1
67,(,0,-1
68,ID,22,0
69,),0,-1
70,;,0,-1
